ID;Data;Provenienza;URL;Esito;Categorie;Dominio;Creato;Aggiornato;Scadenza;Nome del registrante;Organizzazione registrante;Città e/o regione del registrante;Nome Registrar;Email;Numero di Malware Trovati;;;;Tipologia di Malware;Famiglie del Malware;Dominio;FilePath;IP
1;2021-04-22;c.n.c.p.o.;https://it.xhamster.com/;Corretto;Pornography: Includes Web sites containing the depiction of sexually explicit activities and erotic content unsuitable to persons under the age of 18.;XHAMSTER.COM;2007-04-02;2021-03-03;2022-04-02;None;None;None, None;NameCheap, Inc.;abuse@namecheap.com;192;;;;############;############;############;############;############
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;P_awopuobi9561.zip;87.158.194.93
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;details_outose.zip;154.101.95.1
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;ATM_exaepajaj9662.zip;117.220.8.141
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;unpaid_hueningerd.zip;27.4.203.27
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;unpaid_angstonyhceognh.zip;182.232.164.241
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;unpaid_gonib2065.zip;191.222.98.233
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;INVOICE_degivavy9518.zip;187.230.98.150
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;payment_hensen.zip;39.42.160.216
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;payment_toflame.zip;223.176.151.89
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;payment_am148.netis.net.r.zip;190.9.217.225
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;payment_uzeequxoo4937.zip;179.25.52.189
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;INVOICE_arteriole.zip;116.73.139.121
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;INVOICE_culver.zip;181.179.132.165
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;receipt_koidenn.zip;187.149.221.140
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;lastpayment_iamaspectical.zip;103.247.15.144
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;transfer_josef.tiefenbach.zip;177.249.94.140
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;logs_fuzi.zip;94.79.88.99
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;order_lloyd_larsonmy.zip;116.110.37.43
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;virtualcard_m.colvin_ma.zip;45.124.6.157
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;order_japufagisa1285.zip;1.23.40.110
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;account_dixiekimberley.zip;190.116.31.51
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;iviexe6593_97706aa.zip;180.214.246.10
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;pdf_atayqeqyf3423_c561410.zip;177.82.87.131
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;insurance_1bb6416.zip;162.104.227.215
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;fin_docs_f39fa0d29.zip;46.225.123.58
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;fin_docs_fde676cec.zip;117.197.120.168
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;shipment_824e7689.zip;212.14.243.190
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;shipment_66c90fd2.zip;148.204.161.65
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;tech_doc_a3edefe3.zip;117.192.201.215
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;parcel_eaaf34de.zip;154.103.180.107
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;parcel_11b0242.zip;200.6.175.10
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;november_bill_41b306aa.zip;186.153.228.59
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;flight_tickets_3fa62ae3.zip;103.42.173.10
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;last_transactions_4a0cd25.zip;202.166.171.82
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;transaction-details_a97a057d8.zip;171.97.15.146
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;transaction-details_93bb87e3.zip;41.85.189.165
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;tracking_number_86224fe.zip;46.1.131.158
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;payment_history_bf071f6dd.zip;203.153.44.29
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;detailed_bill_6501b4ff.zip;5.116.133.24
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;detailed_bill_5a3d94887.zip;162.104.227.215
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;order_details_84499df66.zip;42.118.89.204
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;order_details_784b88fd.zip;103.9.181.197
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;order_details_93df08d.zip;175.101.91.161
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;fixed_invoice_51c35f946.zip;5.55.116.69
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;paychecks_f8d9158f.zip;190.119.208.9
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;complaint_letter_3cbdb45.zip;103.232.65.151
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;complaint_letter_d3f76cf.zip;37.254.43.27
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;refund_scan_077e2bc95.zip;182.73.76.170
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;Travel_Itinerary-abb6b03.zip;103.255.5.117
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;paperwork_scan_905d2b41.zip;41.230.105.106
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;DHL_parcel_25c9852a.zip;223.196.76.169
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;transaction_copy_e57057827.zip;27.97.27.17
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;debit_card_89434ac0.zip;194.165.147.23
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;proposal_form_81eb53c02.zip;14.98.111.200
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;proposal_form_198fbee7.zip;171.234.237.144
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;proposal_form_366c148.zip;58.84.24.92
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;proposal_form_98f57c44f.zip;60.254.121.59
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;31a2d3c44fcc.zip;196.186.171.83
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;61c881f1473.zip;202.29.213.158
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;06b3a7f4ea6d.zip;62.231.206.2
